Time,Scorer
00:01:09,2
00:01:41,1
00:02:15,1
00:02:43,2
00:03:09,2
00:03:26,2
00:03:48,2
00:04:28,1
00:04:52,2
00:05:24,2
00:05:46,2
00:06:11,2
00:06:38,2
00:06:58,2
00:07:31,2
00:07:53,2
00:08:44,1
00:09:04,2
00:09:25,2
00:09:42,1
00:10:08,2
00:10:26,1
00:10:59,2
00:11:17,1
00:11:36,2
00:12:07,2
00:12:19,2
00:12:37,2
00:12:57,2
00:14:54,2
00:15:20,2
00:15:44,2
00:16:06,2
00:16:18,2
00:16:38,1
00:17:08,2
00:17:37,1
00:18:15,1
00:18:52,2
00:19:20,1
00:19:38,1
00:20:09,1
00:20:25,2
00:20:45,2
00:21:05,2
00:21:26,2
00:22:20,1
00:22:46,2
00:23:03,1
00:23:22,2
00:23:36,2
00:23:48,2
00:24:03,1
00:24:18,2
00:24:35,1
00:24:47,2
00:25:00,2
00:25:12,2
00:25:23,1
00:25:35,1
00:25:49,2
00:26:01,2
00:26:12,1
00:28:38,2
00:28:51,1
00:29:16,1
00:29:45,1
00:30:11,1
00:30:47,2
00:31:11,2
00:31:35,2
00:31:50,1
00:32:11,2
00:33:06,1
00:33:22,2
00:33:39,1
00:34:01,2
00:34:34,2
00:34:51,2
00:35:15,1
00:35:37,2
00:36:06,1
00:36:20,2
