Predicted_Time,Predicted_Scorer,Label_Time,Label_Scorer,Correct,Error_Type
00:00:24,1,,,0,False_Trigger
00:01:11,1,00:01:09,2,0,Wrong_Scorer
00:01:44,1,00:01:41,1,1,
00:02:17,2,00:02:15,1,0,Wrong_Scorer
00:02:45,2,00:02:43,2,1,
00:03:10,2,00:03:09,2,1,
00:03:27,1,00:03:26,2,0,Wrong_Scorer
00:03:49,2,00:03:48,2,1,
00:04:29,2,00:04:28,1,0,Wrong_Scorer
00:04:55,2,00:04:52,2,1,
00:05:27,2,00:05:24,2,1,
00:05:38,2,,,0,False_Trigger
00:05:47,2,00:05:46,2,1,
00:05:55,2,,,0,False_Trigger
00:06:12,1,00:06:11,2,0,Wrong_Scorer
00:06:40,2,00:06:38,2,1,
00:07:00,1,00:06:58,2,0,Wrong_Scorer
00:07:36,1,00:07:31,2,0,Wrong_Scorer
00:07:37,1,,,0,False_Trigger
00:07:41,2,,,0,False_Trigger
00:07:46,1,,,0,False_Trigger
00:07:56,1,00:07:53,2,0,Wrong_Scorer
00:08:05,1,,,0,False_Trigger
00:08:18,2,,,0,False_Trigger
00:08:37,1,,,0,False_Trigger
00:08:47,1,00:08:44,1,1,
00:09:06,1,00:09:04,2,0,Wrong_Scorer
00:09:13,1,,,0,False_Trigger
00:09:18,2,,,0,False_Trigger
00:09:27,2,00:09:25,2,1,
00:09:44,1,00:09:42,1,1,
00:09:49,2,,,0,False_Trigger
00:10:09,2,00:10:08,2,1,
00:10:19,2,,,0,False_Trigger
00:10:28,1,00:10:26,1,1,
00:10:53,2,,,0,False_Trigger
00:11:01,1,00:10:59,2,0,Wrong_Scorer
00:11:08,1,,,0,False_Trigger
00:11:18,2,00:11:17,1,0,Wrong_Scorer
00:11:37,1,00:11:36,2,0,Wrong_Scorer
00:11:48,2,,,0,False_Trigger
00:12:05,1,00:12:07,2,0,Wrong_Scorer
00:12:17,2,00:12:19,2,1,
00:12:39,2,00:12:37,2,1,
00:12:43,2,,,0,False_Trigger
00:12:59,2,00:12:57,2,1,
00:13:39,1,,,0,False_Trigger
00:13:43,1,,,0,False_Trigger
00:13:48,1,,,0,False_Trigger
00:14:02,2,,,0,False_Trigger
00:14:56,1,00:14:54,2,0,Wrong_Scorer
00:15:12,2,,,0,False_Trigger
00:15:21,2,00:15:20,2,1,
00:15:41,1,00:15:44,2,0,Wrong_Scorer
00:15:57,2,,,0,False_Trigger
00:16:08,2,00:16:06,2,1,
00:16:17,2,00:16:18,2,1,
00:16:27,2,,,0,False_Trigger
00:16:39,1,00:16:38,1,1,
00:17:09,1,00:17:08,2,0,Wrong_Scorer
00:17:39,1,00:17:37,1,1,
00:17:53,1,,,0,False_Trigger
00:18:16,1,00:18:15,1,1,
00:18:31,1,,,0,False_Trigger
00:18:54,2,00:18:52,2,1,
00:19:04,2,,,0,False_Trigger
00:19:21,1,00:19:20,1,1,
00:19:39,1,00:19:38,1,1,
00:19:58,2,,,0,False_Trigger
00:20:10,1,00:20:09,1,1,
00:20:26,1,00:20:25,2,0,Wrong_Scorer
00:20:47,2,00:20:45,2,1,
00:20:57,2,,,0,False_Trigger
00:21:07,1,00:21:05,2,0,Wrong_Scorer
00:21:27,2,00:21:26,2,1,
00:21:52,1,,,0,False_Trigger
00:22:21,1,00:22:20,1,1,
00:22:35,1,,,0,False_Trigger
00:22:48,2,00:22:46,2,1,
00:22:57,2,,,0,False_Trigger
00:23:04,1,00:23:03,1,1,
00:23:23,2,00:23:22,2,1,
00:23:51,1,00:23:48,2,0,Wrong_Scorer
00:24:06,1,00:24:03,1,1,
00:24:22,1,00:24:18,2,0,Wrong_Scorer
00:24:34,1,00:24:35,1,1,
00:24:52,1,00:24:47,2,0,Wrong_Scorer
00:25:03,2,00:25:00,2,1,
00:25:14,2,00:25:12,2,1,
00:25:25,1,00:25:23,1,1,
00:25:38,1,00:25:35,1,1,
00:25:51,1,00:25:49,2,0,Wrong_Scorer
00:26:13,1,00:26:12,1,1,
00:28:40,2,00:28:38,2,1,
00:28:49,2,00:28:51,1,0,Wrong_Scorer
00:29:19,1,00:29:16,1,1,
00:29:47,2,00:29:45,1,0,Wrong_Scorer
00:30:04,1,,,0,False_Trigger
00:30:12,2,00:30:11,1,0,Wrong_Scorer
00:30:18,2,,,0,False_Trigger
00:30:49,2,00:30:47,2,1,
00:31:04,2,,,0,False_Trigger
00:31:12,2,00:31:11,2,1,
00:31:24,2,,,0,False_Trigger
00:31:37,2,00:31:35,2,1,
00:31:51,1,00:31:50,1,1,
00:32:12,2,00:32:11,2,1,
00:32:52,1,,,0,False_Trigger
00:33:08,1,00:33:06,1,1,
00:33:24,2,00:33:22,2,1,
00:33:31,1,,,0,False_Trigger
00:33:40,1,00:33:39,1,1,
00:34:02,1,00:34:01,2,0,Wrong_Scorer
00:34:36,2,00:34:34,2,1,
00:34:52,2,00:34:51,2,1,
00:35:22,1,,,0,False_Trigger
00:35:40,2,00:35:37,2,1,
00:35:48,2,,,0,False_Trigger
00:35:57,2,,,0,False_Trigger
00:36:07,2,00:36:06,1,0,Wrong_Scorer
00:36:21,2,00:36:20,2,1,
00:36:33,2,,,0,False_Trigger
,,00:23:36,2,0,Missed_Score
,,00:26:01,2,0,Missed_Score
,,00:35:15,1,0,Missed_Score
